"","date","","","","","","","","","",""
"1",5829,4656.46605702304,0,6149.12105160568,0,4992.03492605464,0,6275.37174274758,0,7899.76008813907,0
"2",5830,5123.32071245333,0,4947.68787444478,0,5150.70654411181,0,5033.93309496874,0,7248.77276658438,0
"3",5831,5263.94812145729,0,7944.60969816344,0,5778.34020095942,0,8031.62037563536,0,9673.34881233043,0
"4",5832,5820.75718364831,0,3003.67163573775,0,5329.82256817045,0,3023.15711583518,0,6142.03692834672,0
"5",5835,5394.71600022508,0,6076.03052642629,0,5468.26091602754,0,6068.98330226531,0,8240.48911417058,0
"6",5836,5545.21896468765,0,7110.44440447017,0,5789.75826435553,0,7099.71935815309,0,9151.40753849459,0
"7",5838,5788.88413320152,0,9521.90572420316,0,6450.34524415865,0,9513.98466906398,0,11198.7380700829,0
"8",5839,6533.85537547022,0,10669.2702710651,0,7329.11853615769,0,10667.7774227826,0,12592.6737339329,0
"9",5842,7387.90482222749,0,10013.8215991234,0,7971.59120141892,0,10024.6139980778,0,12650.4764026859,0
"10",5843,8001.57283206041,0,8277.92006354423,0,8203.24958302756,0,8304.4794199092,0,11705.8898709423,0
"11",5845,8149.63713233935,0,3374.01381491226,0,7443.34715678806,0,3412.46252840933,0,7978.64863364021,0
"12",5846,7461.561716131,0,668.342160594975,0,6203.2444715729,0,614.488141273475,0,5323.78312028165,0
"13",5849,6100.09657106837,0,226.668084987817,0,4961.66894986561,0,205.279720717266,0,4122.3043566754,0
"14",5850,5061.00517185034,0,1136.73368323944,0,4227.16902954445,0,1121.61513844818,0,4169.62992513291,0
"15",5851,4383.23645614581,0,2203.12180992085,0,3800.98196953224,0,2155.28928008553,0,4536.38945930858,0
"16",5852,3635.96058217837,0,3574.25282104695,0,3439.9312479879,0,3537.93637870304,0,5137.19670339426,0
"17",5853,3514.59800524518,0,5906.22862588243,0,3738.51705776757,0,5837.66704015011,0,6856.95025444048,0
"18",5856,3888.38519468668,0,6081.85267937852,0,4125.81910912873,0,6026.31154050274,0,7247.44115098051,0
"19",5857,4088.26379695169,0,8610.50453687477,0,4728.00520260506,0,8501.98089089753,0,9318.51484763976,0
"20",5858,4891.8148641747,0,7331.59163274047,0,5265.28107955457,0,7258.26514852953,0,8870.42452133743,0
"21",5859,5485.02494761548,0,3648.26129834378,0,5195.31265406684,0,3634.26092310869,0,6423.3855264992,0
"22",5860,5171.49875005761,0,5812.73294607306,0,5231.62632938292,0,5721.98771011645,0,7841.52878431167,0
"23",5864,5067.10675366166,0,8250.52400638551,0,5585.58666396544,0,8154.9648057303,0,9676.49919082051,0
"24",5865,5719.02537385284,0,1946.99757111103,0,5110.45868875938,0,1935.85885535915,0,5234.47303135167,0
"25",5866,5269.13846287949,0,68.9233238783046,0,4394.70891562796,0,80.2707633682763,0,3488.13309586894,0
"26",5867,4241.5087293614,0,1403.13698243061,0,3640.19478051455,0,1343.98549791654,0,3800.04132574961,0
"27",5870,3575.07621056573,0,3533.90719716126,0,3406.26367581802,0,3452.48557373664,0,5015.72296336238,0
"28",5871,3743.87129549623,0,4560.46317005967,0,3721.23069708538,0,4477.90671150329,0,5929.35049440144,0
"29",5872,3928.84680963953,0,7308.64043521482,0,4333.85620571449,0,7186.73943804614,0,8169.27984125285,0
"30",5873,4330.60215316417,0,2252.77995295414,0,3916.97052175829,0,2241.51239144135,0,4566.85050248044,0
"31",5874,4040.75320234584,0,4672.01204199618,0,4065.32499022042,0,4629.62199563829,0,6246.0738370549,0
"32",5877,4079.98530566512,0,7639.02548523957,0,4594.90365985393,0,7548.57851023451,0,8559.84298981807,0
"33",5878,4516.60697118838,0,9803.50002630184,0,5388.16617536412,0,9708.65188239275,0,10539.8551481706,0
