"date","H1","ph1","H10","ph10"
1985-12-17,4656.46605702304,"0",4992.03492605464,"0"
1985-12-18,5123.32071245333,"1",5150.70654411181,"1"
1985-12-19,5263.94812145729,"1",5778.34020095942,"1"
1985-12-20,5820.75718364831,"1",5329.82256817045,"1"
1985-12-23,5394.71600022508,"1",5468.26091602754,"1"
1985-12-24,5545.21896468765,"1",5789.75826435553,"1"
1985-12-26,5788.88413320152,"1",6450.34524415865,"1"
1985-12-27,6533.85537547022,"1",7329.11853615769,"1"
1985-12-30,7387.90482222749,"1",7971.59120141892,"1"
1985-12-31,8001.57283206041,"1",8203.24958302756,"1"
1986-01-02,8149.63713233935,"1",7443.34715678806,"1"
1986-01-03,7461.561716131,"1",6203.2444715729,"1"
1986-01-06,6100.09657106837,"1",4961.66894986561,"1"
1986-01-07,5061.00517185034,"1",4227.16902954445,"1"
1986-01-08,4383.23645614581,"1",3800.98196953224,"1"
1986-01-09,3635.96058217837,"1",3439.9312479879,"1"
1986-01-10,3514.59800524518,"1",3738.51705776757,"1"
1986-01-13,3888.38519468668,"1",4125.81910912873,"1"
1986-01-14,4088.26379695169,"1",4728.00520260506,"1"
1986-01-15,4891.8148641747,"1",5265.28107955457,"1"
1986-01-16,5485.02494761548,"1",5195.31265406684,"1"
1986-01-17,5171.49875005761,"1",5231.62632938292,"1"
1986-01-21,5067.10675366166,"1",5585.58666396544,"1"
1986-01-22,5719.02537385284,"1",5110.45868875938,"1"
1986-01-23,5269.13846287949,"1",4394.70891562796,"1"
1986-01-24,4241.5087293614,"1",3640.19478051455,"1"
1986-01-27,3575.07621056573,"1",3406.26367581802,"1"
1986-01-28,3743.87129549623,"1",3721.23069708538,"1"
1986-01-29,3928.84680963953,"1",4333.85620571449,"1"
1986-01-30,4330.60215316417,"1",3916.97052175829,"1"
1986-01-31,4040.75320234584,"1",4065.32499022042,"1"
1986-02-03,4079.98530566512,"1",4594.90365985393,"1"
1986-02-04,4516.60697118838,"1",5388.16617536412,"1"
1986-02-05,5563.21868684794,"1",6593.36087979388,"1"
1986-02-06,6583.65046911401,"1",7644.49664693392,"1"
1986-02-07,7634.55725087987,"1",8709.24384734307,"1"
1986-02-10,8789.97945632588,"1",9693.2949541288,"1"
1986-02-11,9808.21176007718,"1",10640.8821262664,"1"
1986-02-12,10554.844463059,"1",11205.894562276,"1"
1986-02-13,11196.4546599887,"1",11822.3785028789,"1"
1986-02-14,11780.28048033,"1",12341.2591602501,"1"
1986-02-18,12254.5152379414,"1",11896.9481206118,"1"
1986-02-19,11836.5806385627,"1",11182.9714532154,"1"
1986-02-20,10997.6039858615,"1",10748.1790639489,"1"
1986-02-21,10607.8905449667,"1",10286.0633945709,"1"
1986-02-24,10352.0849650519,"1",10376.3346800977,"1"
1986-02-25,10316.2080422715,"1",9257.10658866975,"1"
1986-02-26,9160.00219343431,"1",8428.81053736699,"1"
1986-02-27,8418.63096313864,"1",7751.59720812312,"1"
1986-02-28,7681.64102652089,"1",7621.30795559087,"1"
1986-03-03,7598.92061386092,"1",7637.5637089473,"1"
1986-03-04,7616.29345984755,"1",7935.13826933756,"1"
1986-03-05,7945.03293136758,"1",8508.23229665769,"1"
1986-03-06,8525.06734248507,"1",8852.99427921862,"1"
1986-03-07,8927.62530361739,"1",9368.82498805745,"1"
1986-03-10,9320.82888548103,"1",9798.131439394,"1"
1986-03-11,9795.09805658089,"1",9486.79145728213,"1"
1986-03-12,9497.7159103042,"1",9316.38777502508,"1"
1986-03-13,9126.89360941445,"1",9294.08376368782,"1"
1986-03-14,9151.45554849197,"1",9551.15031144203,"1"
1986-03-17,9688.23797524858,"1",9459.24256467252,"1"
1986-03-18,9454.25727069039,"1",9613.68572156495,"1"
1986-03-19,9420.80382968062,"1",9816.61392106096,"1"
1986-03-20,9836.67306663869,"1",10220.2395955866,"1"
1986-03-21,10363.7851118671,"1",10836.1226922003,"1"
1986-03-24,10704.2016920143,"1",11176.8881483893,"1"
1986-03-25,11089.8896656403,"1",11217.1328011671,"1"
